Latitud,Longitud,Alt.Elip.,Nombre,Nombre
-37.7719167361111,-67.71556405,373.984,25MA,25MA
-38.3820767138889,-60.2742491083333,137.479,3ARO,3ARO
-22.7220354083333,-65.6973094638889,3530.1,ABRA,ABRA
-34.8737080944444,-58.1398564111111,39.6853,AGGO,AGGO
-43.8840991888889,-68.4135152916667,275.665,ALTA,ALTA
-27.3234267388889,-66.5966282722222,2736.946,ALUM,ALUM
-54.8395249611111,-68.3035665888889,71.889,AUTF,AUTF
-36.7670222305556,-59.8812801861111,158.313,AZUL,AZUL
-37.7612335647222,-58.3010950941667,150.394,BCAR,BCAR
-41.1467730388889,-71.2989125972222,886.375,BCH1,BCH1
-60.7397837083333,-44.7406154638889,121.18,BORC,BORC
-25.9569402722222,-60.621665375,134.42,CAEP,CAEP
-28.4709850277778,-65.7741209166667,547.167,CATA,CATA
-27.4204399427778,-58.9596931119444,77.9586,CHAC,CHAC
-39.1637279833333,-66.1465130888889,177.636,CHIM,CHIM
-49.3404565358333,-72.8855628483333,485.321,CHLT,CHLT
-37.3740234166667,-70.2768812972222,875.564,CHMA,CHMA
-34.8981449361111,-60.0194403638889,87.486,CHOY,CHOY
-23.0274909111111,-67.7605748861111,5074.05,CJNT,CJNT
-27.4670924519444,-58.8309725869445,112.1264,COCA,COCA
-31.5284345902778,-64.4700482658333,746.846366,CORD,CORD
-45.5143409277778,-71.8920808222222,476.173,COYQ,COYQ
-31.9805263588889,-68.4272441288889,580.2751,CSJ1,CSJ1
-31.7848872625,-69.3022139555556,2638.7815,CSLO,CSLO
-52.7808084916667,-69.224052725,84.732,CSOM,CSOM
-30.1633420333333,-67.8425814861111,1422.712,DINO,DINO
-36.3151007194444,-57.6809957666667,34.065,DORE,DORE
-27.3689441202778,-55.8921745258333,139.8669,EBYP,EBYP
-50.3358453375503,-72.2630263372417,210.461,ECAR,ECAR
-32.0295262027778,-61.2247548,84.946,EPGZ,EPGZ
-31.6399306013889,-60.6721432433333,62.8224,EPSF,EPSF
-42.9171136222222,-71.3234006083333,589.434,ESQU,ESQU
-32.8853218666667,-68.8211613277778,758.4,ETSJ,ETSJ
-30.9535055694444,-58.7829525388889,89.637,FEDE,FEDE
-26.1913039416667,-58.1707647222222,92.775,FOSA,FOSA
-43.1905402,-71.8483951166667,381.881,FUTF,FUTF
-33.1509797055556,-59.3137866388889,41.093,GGUA,GGUA
-39.0289922722222,-67.5770040777778,262.958,GRCA,GRCA
-31.8691304255556,-59.0262228313889,70.6409,GUAY,GUAY
-35.0326002388889,-63.0136425277778,148.627,GVIL,GVIL
-34.5722437030556,-58.4393193280556,50.69377,IGM1,IGM1
-25.420677575,-54.5882932527778,183.583,ITAI,ITAI
-27.5844083,-65.6227496488889,409.186,JBAL,JBAL
-30.2425946694444,-68.7463249666667,1206.386,JCHL,JCHL
-27.0028306416667,-64.6819789,352.758,JVCH,JVCH
-25.1197427027778,-64.1248701722222,409.792,JVGO,JVGO
-29.4145077861111,-66.8506591722222,536.175,LARJ,LARJ
-38.0026595236111,-65.5952472252778,404.5461,LHCL,LHCL
-38.4552222222222,-71.3618722222222,940.4,LNQM,LNQM
-34.9067451125,-57.9322995377778,29.875203,LPGS,LPGS
-32.4754728055556,-61.5783407944445,128.757,LROS,LROS
-64.2403916027778,-56.6227324777778,221.515,MBIO,MBIO
-29.1848871380556,-58.0758453308333,116.516371,MECO,MECO
-35.777351975,-69.3979195583333,1553.699,MGUE,MGUE
-38.0057673347222,-57.5712972916667,53.5924,MPL2,MPL2
-32.8951527633333,-68.8755736380555,859.842292,MZAC,MZAC
-33.2548431888889,-68.1500614388889,635.723,MZAE,MZAE
-32.7207148722222,-68.5952229111111,635.523127752518,MZAL,MZAL
-33.1951487,-68.4670373833333,699.88,MZAR,MZAR
-33.7359566352778,-69.1184119913889,1056.9635,MZAU,MZAU
-34.9784332222222,-67.6961657388889,504.319,MZGA,MZGA
-34.6123772666667,-68.3314822444445,730.2152,MZRF,MZRF
-38.9499835027778,-68.059509875,348.915,NEQN,NEQN
-40.1053930738889,-64.45400475,83.1109,NESA,NESA
-26.6859127619444,-60.7293460805556,128.8165,NGAQ,NGAQ
-32.3837254583333,-59.7948801333333,70.3412,NOYA,NOYA
-35.1130319388889,-65.2566361972222,331.939,NUGA,NUGA
-31.5086834333333,-68.623268825,727.343,OAFA,OAFA
-27.4736127694444,-55.13028205,284.682,OBRA,OBRA
-29.5028079861111,-63.6936021472222,556.238,OJOA,OJOA
-23.1414560305556,-64.3245018444444,387.457,ORAN,ORAN
-29.7142663472222,-57.0863664583333,97.381,PACO,PACO
-40.7967003472222,-62.9893839388889,61.155,PATA,PATA
-47.7566271369444,-65.8993803347222,21.9274,PDE3,PDE3
-33.9458146722222,-60.5624700777778,94.414,PEBA,PEBA
-35.8063246055555,-61.8946386433333,110.1523,PEJO,PEJO
-39.5026380166667,-62.6831107138889,34.673,PELU,PELU
-24.9627539277778,-53.4663294861111,777.301,PRCV,PRCV
-31.7814358805556,-60.4694392875,92.3973,PRNA,PRNA
-27.0294072166667,-62.7052359777778,196.5216,PUMA,PUMA
-31.2475849083333,-61.4711888222222,123.058,RASF,RASF
-29.1463586194444,-59.6644294388889,76.362,RECO,RECO
-53.7854718836111,-67.7511178855556,32.041929,RIO2,RIO2
-33.1252484511111,-64.3493846469444,470.518,RIO4,RIO4
-30.2094335416667,-69.1311642666667,1635.566,RODE,RODE
-29.789444675,-55.768839925,117.205,RSAL,RSAL
-28.1418795361111,-54.7547595111111,280.895,RSCL,RSCL
-34.2628889361111,-62.7095004222222,148.693,RUFI,RUFI
-43.2988806636111,-65.1072483383333,27.383918,RWSN,RWSN
-36.230206575,-66.9397229888889,339.467,SAIS,SAIS
-30.5747253055556,-59.9288390388889,50.261,SAJA,SAJA
-33.1502880302778,-70.6685537230556,723.07,SANT,SANT
-45.5858989388889,-69.0698908555556,289.956,SARM,SARM
-30.308778095,-61.2265625486111,103.7756,SBAL,SBAL
-40.5834841805556,-67.7589837166667,681.683,SICO,SICO
-33.1563562738889,-66.3140095813889,864.7844,SL01,SL01
-40.130359425,-71.2259462833333,875.7694,SMAN,SMAN
-35.4411387166667,-58.8043492694444,51.7328,SMDM,SMDM
-63.39512115,-56.9958630583333,27.676,SPRZ,SPRZ
-36.6214994555556,-64.2804046583333,223.848,SRLP,SRLP
-37.4584999611111,-61.9312919944444,264.038,SUAR,SUAR
-29.1413861861111,-62.6553601027778,115.058,SUR1,SUR1
-26.993713675,-54.4875205194444,553.248,SVIC,SVIC
-25.8041436972222,-62.8308686555556,251.819,TATU,TATU
-26.8529796305556,-65.7100083472222,2036.759,TAVA,TAVA
-27.7891451666667,-64.256780725,221.964,TERO,TERO
-28.0672166325,-67.5660373222222,1241.5666,TGTA,TGTA
-23.5771414416667,-65.3950730388889,2517.777,TILC,TILC
-29.23195875,-61.7702122722222,100.781,TOSF,TOSF
-26.2302169944444,-65.2821753444444,816.091,TRNC,TRNC
-26.8326542138889,-65.1956690777778,469.991,TUC1,TUC1
-26.8432551008333,-65.2303515830556,485.048017,TUCU,TUCU
-31.4349599861111,-64.1935055972222,462.779,UCOR,UCOR
-51.6479925825,-69.2086540952778,34.9395,UNPA,UNPA
-32.9593529291667,-60.6284252094445,66.87234,UNRO,UNRO
-24.7274563311111,-65.4076433,1257.804753,UNSA,UNSA
-31.5412578166667,-68.5770606861111,708.914,UNSJ,UNSJ
-34.4629870833333,-57.8353815388889,49.332,UYCO,UYCO
-32.2912495783333,-58.0671885044445,71.8284,UYPA,UYPA
-31.3751718166667,-57.9597800527778,79.037,UYSA,UYSA
-33.2612616077778,-58.0136178027778,80.7502,UYSO,UYSO
-30.9462703444444,-57.5245013222222,75.664,UYTD,UYTD
-38.7007681922222,-62.2692271175,59.478868,VBCA,VBCA
-33.2280627916667,-60.3299338166667,62.297,VCON,VCON
-32.4200059194444,-63.2414649583333,227.04,VIMA,VIMA
-28.0357440333333,-56.0123885361111,162.474,VIRA,VIRA
-22.0171034472222,-63.6799847638889,659.692,YCBA,YCBA
-24.2807309083333,-61.23650605,185.52,YEMA,YEMA
-38.9064025666667,-70.0668895638889,1046.767,ZPLA,ZPLA
